EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
no,yes,1,yes,not-needed,yes,RR,yes,yes,no,Vervaeke et al. 2005,A survey of intestinal helminths of red foxes (Vulpes vulpes) in northern Belgium.,2005,Acta parasitologica,50,3,221-227,221,227,7,none,none,article,no,Author Link,0,"Between 1994 and 1999, 219 red foxes (Vulpes vulpes) were collected in northern Belgium and examined for intestinal helminths. The effects of host-related (age, sex, body mass/size ratio) and temporal factors on the prevalence and on the number of parasite species per individual host were investigated. The following parasites were found: cestodes Echinococcus multilocularis (1.8%), Dipylidium caninum (0.9%) and Taenia spp.(2.7%), nematodes Toxocara canis, Toxascaris leonina (47.9%) and Uncinaria stenocephala √¢‚Ç¨¬¶",Yes,English,,,location size,GMPD_414,,,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Di Cerbo et al. 2008a,Intestinal helminth communities of the red fox (Vulpes vulpes L.) in the Italian Alps,2008,Acta parasitologica,53,3,302-311,302,311,10,10.2478/s11686-008-0042-7,none,article,yes,publisher website,0,"The study analyses the intestinal helminth communities found in 645 red foxes of alpine populations from five areas of Northern Italy. In particular, the aim was to evaluate the contribution of both environmental variability and the structure of fox population (extrinsic and intrinsic factors, respectively) in shaping the structure and composition of the intestinal helminth communities. To identify the influence of the characteristics of the host (i.e. age and sex) together with extrinsic factors (year, site, season, and altitude of collection) on number of species, total load per fox, prevalence and abundance of each parasite species, general linear models were performed. Fifteen helminth species have been detected in the intestine of 545 infected animals (84.5%) with a total of 17,144 parasites collected. The analysis of factors influencing both prevalence and abundance of infection of the parasite species revealed the preponderance of extrinsic factors on intrinsic ones. In particular, geographical areas influenced prevalence and abundance of every parasite species, showing high spatial variability. The lower influence of host factors may suggest that, in this case, host dynamics play a trivial role with respect to spatial variability in determining parasite abundance. These results pointed out high prevalence of intestinal helminth infections in the Italian Alpine fox, confirmed the typical composition of parasite fauna within fox populations, underlined local differences in the structure and composition of the helminth communities. Moreover, this study highlights the major role of extrinsic factors vs intrinsic ones.",Yes,English,,,,GMPD_bg_4217,GMPD_bg_4216,GMPD_055,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Sutor et al. 2014,"The biological potential of the raccoon dog (Nyctereutes procyonoides, Grey 1834) as an invasive species in Europe - new risks for disease spread?",2014,Acta Theriologica,59,1,49–59,49,59,11,10.1007/s13364-013-0138-9,,Journal Article,yes,publisher website,0,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Carmena and Cardona 2013,Canine echinococcosis: Global epidemiology and genotypic diversity,2013,Acta tropica,128,3,441–60,441,460,20,10.1016/j.actatropica.2013.08.002,,Journal Article,no,UGA Library,,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Seimenis 2003,Overview of the epidemiological situation on echinococcosis in the Mediterranean region,2003,Acta tropica,85,2,191–5,191,195,5,10.1016/S0001-706X(02)00272-3,,Journal Article,no,UGA Library,,,,Portuguese,,Data on E.granulosus,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Konno et al. 2003,Prevention Of Alveolar Echinococcosis--Ecosystem And Risk Management Perspectives In Japan.,2003,Acta tropica,89,1,33-40,33,40,8,10.1016/j.actatropica.2003.09.001,14636980,review,no,UGA Library,,"We focused on the epidemiology of alveolar echinococcosis especially in Japan and discussed control measures to prevent an epidemic. No effective control measures against alveolar echinococcosis have been identified thus far because it is difficult to fully understand the ecology of the parasite and its hosts, i.e. the precise infection route to humans. In Hokkaido, Japan, infection rates among red foxes have recently risen even in low endemic districts. Infection seems to be spreading not only among wild foxes but also among domestic dogs. Despite only sporadic reports of human cases in Japan, we predict that the incidence of alveolar echinococcosis will increase in the near future if no effective preventive measures are put in place. An Echinococcus multilocularis epidemic would have the potential to affect the economy of Hokkaido, due to its impact on the agricultural and tourist industries. Well-designed epidemiological surveys are, therefore, urgently required prior to large outbreaks, based on understanding of the ecosystem around E. multilocularis.",not-needed,English,not original data,,,,,,NA,review,Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Wang et al. 2004,"Fenced Pasture: A Possible Risk Factor For Human Alveolar Echinococcosis In Tibetan Pastoralist Communities Of Sichuan, China.",2004,Acta tropica,90,3,285-93,285,293,9,10.1016/j.actatropica.2004.02.004,15099816,article,no,Author Link,0,"Alveolar echinococcosis, infection caused by the parasitic helminth Echinococcus multilocularis, is a zoonosis strongly linked to climatic and ecological factors. Cross-sectional survey data were used to test a hypothesis that partial fencing of pastures could promote alveolar echinococcosis transmission in semi-nomadic pastoral communities of the Tibetan plateau, PR China. Using multiple stepwise logistic regression with consideration of factors of age and gender, it was shown that partial fencing around the settlements in winter pasture was significantly and independently associated with the risk of human alveolar echinococcosis in the surveyed villages (P = 0.021). The underlying reason may lie in overgrazing, an assumed cause of population outbreaks of small mammal intermediate hosts of the parasite on the Tibetan plateau. Overgrazing may have been exacerbated by the reduction of communal pastures nearby the settlements due to introduction of partial fencing around group tenure pastures acquired by Tibetan pastoralist families.",not-needed,English,human,,,,,,NA,,Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Craig et al. 2000,"An Epidemiological And Ecological Study Of Human Alveolar Echinococcosis Transmission In South Gansu, China.",2000,Acta tropica,77,2,167-77,167,177,11,10.1016/s0001-706x(00)00134-0,11080507,article,no,Author Link,0,"Human alveolar echinococcosis (AE) is usually a rare, highly pathogenic zoonotic disease, transmitted across the northern hemisphere between fox and rodent hosts. In China the first cases were described in 1965; however very few epidemiological studies have been undertaken since. Following identification in 1991 of a serious focus of human AE in south Gansu province, detailed village-based community and ecological studies were carried out between 1994 and 1997. Hepatic ultrasound mass screening with serological testing (five tests) identified 84/2482 new AE cases (3%). An overall prevalence of 4.1% (135/3331) was recorded for the area when previous cases were also included. Based on a seropositive result only, without an ultrasound scan indication, no additional AE cases were identified. Of the evolutive AE cases, 96% were seropositive in at least one test, while up 15-20% of individuals who exhibited hepatic calcified lesions and 12-15% exhibiting hepatic nodular lesions were seropositive for specific Em2 or Em18 antibodies. Village (n=31) human AE prevalence rates varied from 0 to 15.8%. Questionnaire analysis indicated that total number of dogs owned over a period was a risk factor (P<0.006), but not a history of red fox hunting (P>0.6). Rodent ecology studies revealed an association between density indices of voles (Microtus limnophilus) and village AE prevalence rates, on the one hand, and village landscape characterised by a ratio of scrub/grassland to total area above 50% (P<0.005). Long-term transmission of Echinococcus multilocularis and risk of zoonotic infection of south Gansu farmers may be related ultimately to a process of deforestation driven by agriculture. This in turn probably results in creation of optimal peri-domestic habitats for rodents that serve as intermediate host species (such as M. limnophilus) and subsequent development of a peri-domestic cycle involving dogs.",not-needed,English,human,,,,,,NA,human; social science (survey of patients),Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Graham et al. 2004,Ecological Epidemiology: Landscape Metrics And Human Alveolar Echinococossis.,2004,Acta tropica,91,3,267-78,267,278,12,10.1016/j.actatropica.2004.05.005,15246932,article,no,UGA Library,,"The larval form of the fox tapeworm Echinococcus multilocularis can cause a potentially fatal liver infection in human hosts. Globally rare, the disease has a high prevalence focus in western China. Recent research has linked landscape to the presence and prevalence of the disease. This paper discusses the epidemiology of E. multilocularis in terms of landscape and disease transmission ecology. Landscape form was defined using satellite imagery to create a land cover classification for a study site in Zhang County (Gansu Province, China). Following the analysis of many landscape metrics, mean shape index was found to be related to the prevalence of infection for 31 villages in 1975 and 1997, at two spatial intervals, suggesting that habitat form is a correlate of disease. A temporal difference shows that the landscape is no longer suitable for transmission. These results indicate the possibility of identifying future hotspots which could aid the management of the disease.",not-needed,English,human,,,,,,NA,,Snowballing
yes,no,1,yes,ARW; KA,yes,ARW,yes,yes,no,Pleydell et al. 2004,Modelling The Spatial Distribution Of Echinococcus Multilocularis Infection In Foxes.,2004,Acta tropica,91,3,253-65,253,265,13,10.1016/j.actatropica.2004.05.004,15246931,article,no,Author Link,0,"Alveolar echinococcosis is a rare but fatal disease in humans and is caused by the fox tapeworm Echinococcus multilocularis. The densities of fox and grassland rodent populations and the interactions between them influence E. multilocularis transmission rates in Europe. Successful rabies control has caused fox populations and E. multilocularis prevalence rates to increase in many European countries. The potential increase of the infection pressure on the human population motivates the monitoring of the infection status of foxes over space and time. Detection of E. multilocularis antigen levels in fox faecal samples collected in the field might provide a pragmatic methodology for epidemiological surveillance of the infection status in wildlife hosts across large areas, as well as providing an indication of the spatial distribution of infected faeces contaminating the environment. In this paper, a spatial analysis of antigen levels detected in faeces collected in the Franche-Comt√ç¬© region of eastern France is presented. In Franche-Comt√ç¬©, rodent outbreaks have been observed to originate in areas rich in grassland. Spatial trends in fox infection levels were modelled here as a function of the composition ratio of grassland in the landscape derived from the CORINE land-cover map. Kriging models incorporating the grassland trend term were compared to a variety of models in which five alternative trend expressions were used: the alternative trend expressions included linear and quadratic polynomials on the x and y coordinates with and without a grassland term, and a constant mean model. Leave-one-out cross-validation indicated that the estimation errors of kriging with a trend models were significantly lower when the trend expression contained the grassland index term only. The relationship between observed and predicted antigen levels was strongest when the estimated range of autocorrelation was within the home range size of a single fox. The over-dispersion of E. multilocularis in foxes may therefore account for the majority of spatial autocorrelation locally, while regional trends can be successfully modelled as a function of habitat availability for intermediate hosts.",Yes,English,,,location size,EID_045,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Vergles et al. 2013,Intestinal parasites of the red fox (Vulpes vulpes) in Slovenia,2013,Acta veterinaria Hungarica,61,4,454-462,454,462,9,10.1556/AVet.2013.029,23974942,article,no,Author Link,0,"In the present study, 428 foxes were collected and examined for intestinal helminths using the washing-out method. Parasites were found in 93.2% of the examined animals. The most frequently identified nematodes were Uncinaria stenocephala (58.9%), Toxocara canis (38.3%) and Molineus patens (30.6%). Other nematodes found were Pterygodermatites affinis (4.2%), Capillaria sp. (2.8%), Crenosoma vulpis (2.8%), Toxascaris leonina (2.5%), Trichuris vulpis (0.7%) and Physaloptera sp. (0.2%). Mesocestoides sp. (27.6%) and Taenia crassiceps (22.2%) were the most prevalent cestodes, followed by T. polyacantha (6.5%), Hymenolepis nana (2.1%), T. pisiformis (2.1%) and Dipylidium caninum (1.4%). The study also revealed four trematode species: Rossicotrema donicum (1.6%), Heterophyes heterophyes (1.1%), Metagonimus yokogawai (1.1%), Prohemistomum appendiculatum (0.4%) and two protozoan species: oocysts of Sarcocystis (2.8%) and Isospora (0.4%). This is the first extensive study on the intestinal parasites of the red fox (Vulpes vulpes) in Slovenia. The 2.6% prevalence of Echinococcus multilocularis in the same sample population as investigated herein has been reported previously (Vergles Rataj et al., 2010).",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,ARW,no,no,no,Wahlstrom et al. 2011,"Combining Information From Surveys Of Several Species To Estimate The Probability Of Freedom From Echinococcus Multilocularis In Sweden, Finland And Mainland Norway.",2011,Acta veterinaria Scandinavica,53,1,1–13,1,13,12,10.1186/1751-0147-53-9,21314948,article,yes,publisher website,0,"The fox tapeworm Echinococcus multilocularis has foxes and other canids as definitive host and rodents as intermediate hosts. However, most mammals can be accidental intermediate hosts and the larval stage may cause serious disease in humans. The parasite has never been detected in Sweden, Finland and mainland Norway. All three countries require currently an anthelminthic treatment for dogs and cats prior to entry in order to prevent introduction of the parasite. Documentation of freedom from E. multilocularis is necessary for justification of the present import requirements.The probability that Sweden, Finland and mainland Norway were free from E. multilocularis and the sensitivity of the surveillance systems were estimated using scenario trees. Surveillance data from five animal species were included in the study: red fox (Vulpes vulpes), raccoon dog (Nyctereutes procyonoides), domestic pig, wild boar (Sus scrofa) and voles and lemmings (Arvicolinae)."", ""The cumulative probability of freedom from EM in December 2009 was high in all three countries, 0.98 (95% CI 0.96-0.99) in Finland and 0.99 (0.97-0.995) in Sweden and 0.98 (0.95-0.99) in Norway.Results from the model confirm that there is a high probability that in 2009 the countries were free from E. multilocularis. The sensitivity analyses showed that the choice of the design prevalences in different infected populations was influential. Therefore more knowledge on expected prevalences for E. multilocularis in infected populations of different species is desirable to reduce residual uncertainty of the results.",Yes,English,,not original data,,,,,NA,modeling paper,SystematicSearch
