CAB_Abstracts,Wildlife_&_Ecology_Studies_Worldwide,Web_Of_Science,BIOSIS,Zoological_Record,databases_agreement,abstract_review,full_text_review,relevant,source_id,title,journal_or_book,volume,issue,pages,pages_start,pages_end,pages_count,pages_total,abstract,publisher,doi,url,supplementary_url,issn_isbn,language,open_access,identification_method,access_method,time_to_access_days,publication_type,publication_form,publication_year,pdf_access,bl_upload,author_email_contact,creator1_name,creator1_affiliation,creator2_name,creator2_affiliation,creator3_name,creator3_affiliation,creator4_name,creator4_affiliation,creator5_name,creator5_affiliation,creator6_name,creator6_affiliation,creator7_name,creator7_affiliation,creator8_name,creator8_affiliation,creator9_name,creator9_affiliation,creator10_name,creator10_affiliation,notes,
no,no,no,no,no,0,no abstract,included,yes,Bailey 1928,Animal life of the Carlsbad Cavern.,Monographs of the American Society of Mammalogists,3,n/a,1-192,1,192,192,192,none,The Williams & Wilkins Company,10.5962/bhl.title.5699,https://www.biodiversitylibrary.org/bibliography/5699,none,none,english,yes,expert curated,Biodiversity Heritage Library,0,society,book,1928,https://paperpile.com/app/p/fe84ce23-dd2f-04de-af4d-cbfe24943c5d,not needed,deceased,Bailey V,,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,
no,no,no,no,Zoological Record,1,included,not diet study,no,Barrett et al. 2012,"Predator occupancy rates in a thinned ponderosa pine forest, Arizona: a pilot study",Wildlife Society Bulletin,36,2,232-239,232,239,8,8,"Throughout northern Arizona, USA, forest thinning in ponderosa pine (Pinus ponderosa) forests has become a common practice to reduce the threat of stand-replacing wildfire and to increase plant and animal diversity across the landscape. To determine how thinning affects predator occurrence, we assessed relationships between predator occupancy and the density of small mammals (prey) across a range of tree stocking levels (basal area of 10–65 m2/ha). Predators were detected using 2 techniques: baited track plates and motion-sensitive cameras. We sampled 33 sites for 2 weeks each in order to detect presence of predators, and estimated occupancy using occupancy models and multimodel inference. We modeled occupancy rates for gray fox (Urocyon cinereoargenteus), coyote (Canis latrans), and raccoon (Procyon lotor). Our results suggest that thinning may have a positive influence on gray fox and coyote abundance, but a negative influence on raccoon abundance. However, our inability to develop strong models that predicted predator occupancy indicates that higher sample sizes and more habitat covariates are needed. Our simulations indicated that, given our occupancy and detection rates, a sample size of 75 sites would allow us to better model occupancy covariates. Overall, we found that predator occupancy can be assessed at large spatial scales using occupancy approaches, particularly using motion-sensitive cameras, which were the most time- and cost-efficient of the methods we analyzed. ",WILEY,,,,,english,no,systematic search,UGA Library,0,,journal article,2012,,,,Barrett KJ,,Kalies EL,,Chambers CL,,,,,,,,,,,,,,,,,
CAB Abstracts,no,no,no,no,1,non-target species,non-target species,no,Beisiegel 2007,"Foraging association between coatis (Nasua nasua) and birds of the Atlantic Forest, Brazil",Biotropica,39,2,283-285,283,285,3,3,"Two bird species, Leucopternis polionota and Dendrocincla fuliginosa, frequently follow coatis (Nasua nasua) while they forage in the Atlantic forest of southeastern Brazil. Two other avian species, Trogon rufus and Habia rubica, have also been observed following coatis. This “following foraging behavior” is more frequent during the dry season when coatis forage in trees. For the birds, this can represent a coping strategy with the reduced resource availability during the drier season.",WILEY,10.1111/j.1744-7429.2006.00255.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1744-7429.2006.00255.x,,,english,no,systematic search,Author Link,0,,journal article,2007,,,,Beisiegel BD,,,,,,,,,,,,,,,,,,,,,
no,no,Web Of Science,BIOSIS,Zoological Record,3,non-target species,non-target species,,Bittner et al. 2010,Coati (Nasua nasua) attacks on humans: case report,Wilderness & environmental medicine,21,4,349-351,349,351,3,3,"Coatis [including Nasua nasua, the ring-tailed coati], are medium-sized mammals widely distributed in the Americas. They are social animals, whose normal diet includes insects, fruits, and small vertebrates, and rarely prey on larger sized animals. There are, to our knowledge, no reports in the medical literature of attacks on humans. This report describes a coati attack on 2 children in their home. The children sustained deep scratches and bites. The animal may have injured the humans in a defensive strike, but motivation for attack was uncertain. Coati attacks may occur in places where there is interaction between these mammals and humans.",ELSEVIER SCIENCE INC,10.1016/j.wem.2010.09.005,https://www.sciencedirect.com/science/article/abs/pii/S1080603210002978,none,,english,yes,systematic search,Author Link,0,,journal article,2010,,,,Bittner GC,,Hans NR,,Neto GH,,Morais MO,,Hans Filho G,,Haddad Jr V.,,none,none,none,none,none,none,none,none,,
no,no,no,no,no,0,included,included,yes,Bradley and Hansen 1965,Observations on the distribution of the ring-tailed cat in southern Nevada.,The Southwestern Naturalist,10,4,310-311,310,311,2,2,none,SOUTHWESTERN ASSOC NATURALISTS,10.2307/3669308,https://www.jstor.org/stable/3669308,none,384909,english,yes,expert curated,JSTOR,0,society,journal article,1965,https://paperpile.com/app/p/7f32a07a-d716-0c94-ba06-069944a33bea,not needed,not provided,Bradley WG,"Biol. Dept., Nevada Southern University, Las Vegas",Hansen CG,"U. S. Fish and Wildlife  Service, Las Vegas, Nev",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,
no,no,no,no,Zoological Record,1,non-target species,not reviewed,no,Britt Virkaitis 2003,"Brown-tailed mongoose Salanoia concolor in the Betampona Reserve, eastern Madagascar: photographs and an ecological comparison with ring-tailed mongoose Galidia elegans",Small Carnivore Conservation,28,n/a,1-3,1,3,3,3,,IUCN SSC Small Carnivore Specialists Group,,,,,english,no,systematic search,UGA LIbrary,ILL,,journal article,2003,,,,Britt A,,Virkaitis V,,,,,,,,,,,,,,,,,,,
no,no,no,no,no,0,included,included,yes,Brody and Koch 1981,Investigation of the ringtail (Bassariscus astutus) in a portion of the Geysers-Calistoga known geothermal resource area.,n/a,n/a,n/a,1-42,1,42,42,52,"Ringtail (Bassariscus astutus) distribution and abundance, habitat utilization, and behavior were studied in a portion of The Geysers-Calistoga Known Geothermal Resource Area (KGRA). Emphasis was placed on identifying the impacts of geothermal power development on the ringtail. Results of the study indicate the study area supports an estimated population of 15-20 ringtails. The average territory size was 221 hectares. The ringtail population studied preferred riparian and riparian-related habitats, and the fact that these habitats are represented by only small areas in the vapor-dominated portion of the KGRA makes them especially sensitive to further disturbance. Data obtained from four radio instrumented ringtails indicate proximity to Big Sulphur Creek is the parameter most useful in predicting ringtail distribution in the study area. Ringtails used rock piles, trees, snags, and man-made features for den sites. Small mammals and birds constituted 75.5% of the diet.",California Energy Comission,10.5281/zenodo.7384232,https://zenodo.org/record/7384233,none,none,english,no,expert curated,UGA Library,4,Management Report,report,1981,https://paperpile.com/app/p/344e9d85-197d-08e8-8484-50eca6422e09,11/30/2022,,Koch D,Natural  Systems  Investigations,Brody A,Natural  Systems  Investigations,none,none,none,none,none,none,none,none,none,none,,,,,,,,
no,no,no,no,Zoological Record,1,included,iterative publishing,19,Brody and Koch 1983,"Spring Ranges, Food habits, and Habitat Utilization of Ringtails in the Geysers.",Transactions of the Western Section of the Wildlife Society,19,n/a,67-75,67,75,9,9,"Four male ringtails (Bassariscus astutus) were radio-collared in the Geysers-Calistoga Known Geothermal Resource Area, Sonoma County, California, and monitored from April through June 1981. Three hundred and forty-one locations of the animals were obtained by telemetry and used to determine home range and habitat utilization patterns. The ringtails occupied exclusive but adjacent home ranges, ranging from 49 to 338 hectares (x = 221 hectares). Ringtail preference for each of 10 vegetation types in the area was analyzed by comparing the percentage of area of each type in the home ranges with the percentage of telemetry locations obtained in each type. Riparian woodland was the most preferred type while serpentine chaparral was the most avoided type. Riparian woodland and mixed evergreen forest types were the only vegetation types that occurred in all 4 home ranges. Forty-one ringtail scats were analyzed to determine spring food habitats. Mammals, birds, insects, and vegetable matter constituted 56.1% 21.4%, 5.5% and 17.0% of the aggregate volume of the scats. respectively. Simple statistical analyses of telemetry locations in relation to the location of geothermal development did not reveal any direct impacts on habitat utilization from geo- thermal development. The effect of development is veiled by the complex interrelation of topography, vegetation type, and location of development. and will require more extensive ecological study. However. it is likely that the lack of extensive riparian habitat in the area was more important in limiting the Geysers ringtail population than the current level of geothermal energy development.",Western Section of the Wildlife Society,none,https://www.wildlifeprofessional.org/western/transactions/transactions_1983_8.pdf,none,0893-214X,english,yes,systematic search,Publisher Website,0,society,journal article,1983,https://paperpile.com/app/p/2ac631a4-c0c6-0e48-8f32-f96701d4fd31,not needed,not provided,Brody AJ,University of Tennessee. Dept. of Forestry. Wildlife & Fisheries P.O. Box 1071. Knoxville. TN 37901,Koch DB,California Dept. of Fish and Game. P.O. Box 47. Yountville. CA 94599,none,none,none,none,none,none,none,none,none,none,,,,,,,,
no,no,no,no,Zoological Record,1,included,included,27,Buecher and Sidner 1999,"Bats of Kartchner Caverns State Park, Arizona.",Journal of Cave and Karst Studies,61,2,102-107,102,107,6,6,"Kartchner Caverns, in southeastern Arizona, is a summer maternity roost for approximately 1000-2000 cave myotis (Myotis velifer). The pregnant females first arrive at the cave in late April, give birth in June, and have left by mid- September. These bats are an important element in the cave ecosystem because their excrement introduces nutrients, which support a complex invertebrate cave fauna. Bat population densities and emergence behavior was monitored between 1988-1991. Other bat species seen using the entrance areas of the cave include Corynorhinus townsendi and Choeronycteris mexicana. Because bats are easily disturbed by human intrusion into the roost, the baseline study was accomplished using low-disturbance techniques in an effort to provide the greatest amount of data with the least disturbance to the bat colony. These techniques included limited visual observations in the roost and netting bats only on the surface at a nearby water tank. During the baseline study, an episode of predation by a carnivore (Bassariscus astutus) caused the bats to abandon the site for a short time. Carbon-14 dating of guano from the Throne and Rotunda Rooms suggests that Myotis velifer used the Back Section of Kartchner Caverns 50-45 years Ka",NATL SPELEOLOGICAL SOC,none,https://caves.org/pub/journal/PDF/V61/v61n2-Buecher-Sidner.pdf,none,none,english,yes,systematic search,Author Link,0,society,journal article,1999,https://paperpile.com/app/p/dedb90ac-1662-002e-a521-cae4426a5362,not needed,not provided,Buecher DC,not provided,Sidner RM,not provided,none,none,none,none,none,none,none,none,none,none,,,,,,,GPS of State Park Entrance; observed predation event 1991-06-04,
no,Wildlife & Ecology Studies Worldwide,no,no,no,1,non-target species,not reviewed,no,Burnett et al. 1996,Successful foraging by the Wedge-tailed Eagle Aquila audax in tropical rainforest in north Queensland,Emu-Austral Ornithology,96,4,277-280,277,280,4,4,"The Wedge-tailed Eagle Aquila audax preys upon a diverse range of species and employs an impressive repertoire of hunting behaviours in a variety ofhabitats (Marchant & Higgins 1993). The few published accounts of Wedge-tailed Eagles hunting in or at least pursuing prey into dense forests are difficult to interpret and none seem to be of rainforest hunting as described in this paper. Fawkner (1991) described a chase through'quite dense forest'in the Marlborough area and Mooney's (1988) account of a Wedge-tailed Eagle chasing a currawong through the canopy alluded to a closed forest habitat. Gaffney & Mooney (1992) state that in Tasmania, Wedge-tailed Eagles prefer to hunt in forest. Wedge-tailed Eagles have also been reported flying over closed forest habitats in Bega and insouth-eastern Queensland (Smith 1984; Czechura 1985) and are frequently seen soaring over rainforest in north Queensland. Wedge-tailed Eagles are known to nest in closed forest habitats. This behaviour is particularly common in Tasmania (Gaffney & Mooney 1992), and a nest-site in an emergent Turpentine tree Syncarpia glomulifera was pointed out to SB by forestry workers on the Mt. Windsor Tableland.",TAYLOR & FRANCIS AUSTRALASIA,10.1071/MU9960277,https://www.tandfonline.com/doi/abs/10.1071/MU9960277,none,none,english,no,systematic search,Author Link,0,,,1996,,,,Burnett S,,Winter J,,Russell R,,,,,,,,,,,,,,,,,
no,no,no,no,no,0,included,included,yes,Burns 1961,Recent Additions to the Mammal Collection of the Stovall Museum.,Proceedings of the Oklahoma Academy of Science,41,n/a,70-72,70,72,3,3,none,Oklahoma Academy of Science,none,https://ojs.library.okstate.edu/osu/index.php/OAS/article/view/4119,none,none,english,yes,expert curated,University Library,0,society,journal article,1961,https://paperpile.com/app/p/cb8ad181-fcc7-07d2-a28e-8a738160aafa,not needed,not provided,Burns RD,"Univenity of Oklahoma, Norman",none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,
